NombreDeProveedor,,,,,,,,,,,,,,,,,,,
Azure,AWS,GCP,,,,,,,,,,,,,,,,,
TipoDeServicio,NombreDeServicioAzure,NombreDeServicioAWS,NombreDeServicioGCP,valorCosAz,valorEOAz,valorEfAz,valorFiaAz,valorSegAz,valorCosAws,valorEOAws,valorEfAws,valorFiaAws,valorSegAws,valorCosGcp,valorEOGcp,valorEfGcp,valorFiaGcp,valorSegGcp,
Storing and Processing Data Streams,Stream Analytics,Amazon Kinesis,Pub/Sub,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,
Managed Service for Machine Learning,Azure Machine Learning Studio,SageMaker,Cloud Machine Learning Engine,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,
Speech Recognition and Conversation Interface,Bing Speech API/Speaker Recognition API,Amazon Lex,Dialogflow Enterprise Edition,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,
Text to Speech,Bing Speech API,Amazon Polly,Text-To-Speech,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,
Images and video Processing,Computer Vision,Amazon Rekognition,Cloud Vision,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,
Natural Language Processing,Language Understanding Intelligent Service (LUIS),Amazon Comprehend,Cloud Natural Language,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,
Internet of Things (IoT),Azure IoT Hub,AWS IoT Core,Cloud IoT Core,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,
Blockchain,Azure Blockchain Service,Amazon Managed Blockchain,-,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,
Dedicated Videogames Servers,PlayFab,GameLift/Lumberyard,Game Servers,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,
Augmented and Virtual Reality ,Mixed Reality,Amazon Sumerian,-,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
